,Sector,Amount($)
173,Crypto,261500000.0
174,Cryptocurrency,143333765.19765574
175,Cultural,300000.0
176,Customer Service,377501295.5929672
177,Customer service company,30000000.0
178,Cybersecurity,4000000.0
179,D2C,211000000.0
180,D2C Business,150000000.0
181,D2C Fashion,4000000.0
182,D2C jewellery,24000000.0
183,D2C startup,0.0
184,Dairy,86260249.91073933
185,Dairy startup,25000000.0
186,Data Analytics,4000000.0
187,Data Intelligence,1200000.0
188,Data Science,85860249.91073933
189,Dating,127843765.19765574
190,Dating app,110000.0
191,Deep Tech,1900000.0
192,Deep Tech AI,85860249.91073933
193,Deeptech,105260249.91073933
194,Deeptech startup,5060000.0
195,Defense & Space,0.0
196,Defense tech,1000000.0
197,Deisgning,500000.0
198,Delivery,377501295.5929672
199,Delivery Service,377501295.5929672
200,Delivery service,40000000.0
201,Dental,125833765.19765574
202,Design,27000000.0
203,Dietary Supplements,125833765.19765574
204,Digital Entertainment,503335060.79062295
205,Digital Marketing,125833765.19765574
206,Digital Media,929723091.0074131
207,Digital mortgage,1200000.0
208,Digital platform,200000.0
209,Digital tech,40000000.0
210,Drone,3100000.0
211,E store,60000000.0
212,E tailor,85860249.91073933
213,E-Commerce,2768342834.3484263
214,E-Commerce Platforms,125833765.19765574
215,E-Learning,1384171417.1742132
216,E-commerce,3222492999.642957
217,E-commerce & ar,43330301.3
218,E-connect,2000000.0
219,E-learning,308335000.0
220,E-market,421860249.9107393
221,E-marketplace,43480301.3
222,E-mobility,95860249.91073933
223,E-sports,100000.0
224,E-tail,43700000.0
225,EV,88860249.91073933
226,EV startup,133900000.0
227,Ecommerce,508216049.55369663
228,EdTech,5204308355.669505
229,EdTech Startup,8550000.0
230,EdtTech,28000000.0
231,Edtech,3836109228.393308
232,Education,1525494682.3718688
233,Education Management,19000000.0
234,Electric Vehicle,125833765.19765574
235,Electricity,7000000.0
236,Electronics,46500000.0
237,Embedded Systems,125833765.19765574
238,Energy,629168825.9882786
239,Enterprise Resource Planning (ERP),125833765.19765574
240,Enterprise Software,125833765.19765574
241,Entertainment,690612499.8214786
242,Entreprenurship,85860249.91073933
243,Environmental Consulting,125833765.19765574
244,Environmental Services,1000000.0
245,Environmental service,0.0
246,Equity Management,3000000.0
247,Escrow,400000.0
248,Estore,3500000.0
249,Events,125833765.19765574
250,Eye Wear,3060000.0
251,Eyeglasses,3000000.0
252,Eyewear,347833765.19765574
253,FM,5000000.0
254,FMCG,175278499.82147866
255,Facilities Services,200000.0
256,Facilities Support Services,125833765.19765574
257,Fantasy Sports,125833765.19765574
258,Fantasy sports,600000.0
259,Farming,151833765.19765574
260,Fashion,970575841.0966737
261,Fashion & Lifestyle,100000000.0
262,Fashion Tech,467000.0
263,Fashion and lifestyle,6000000.0
264,Fashion startup,171720499.82147866
265,FemTech,1000000.0
266,Femtech,6000000.0
267,Fertility tech,200000.0
268,File Sharing,125833765.19765574
269,FinTech,154784459529.6812
270,Finance,2793233273.557803
271,Finance company,113000000.0
272,Financial Services,4949627895.13905
273,Fintech,2079582459.7396114
274,Fishery,4000000.0
275,Fitness,971226606.2943295
276,Fitness startup,174820499.82147866
277,Food,556430249.5536966
278,Food & Bevarages,6400000.0
279,Food & Beverages,479989500.0
280,Food & Logistics,2300000.0
281,Food & nutrition,400000.0
282,Food & tech,6000000.0
283,Food Delivery,1289168825.9882786
284,Food Industry,148460249.91073933
285,Food Processing,251667530.39531147
286,Food Production,2630000.0
287,Food Startup,85860249.91073933
288,Food and Beverage,2013340243.1624918
289,Food and Beverages,40300000.0
290,Food delivery,800000000.0
291,Food devlivery,162000000.0
292,Food diet,85860249.91073933
293,Food tech,124730301.3
294,FoodTech,137960249.91073933
295,Foodtech,631047799.8214786
296,Foodtech & Logistics,85860249.91073933
297,Foootwear,1100000.0
298,Fraud Detection,125833765.19765574
299,Funding Platform,125833765.19765574
300,Furniture,84000000.0
301,Furniture Rental,10000000.0
302,Fusion beverages,1000000.0
303,Games,43330301.3
304,Gaming,1116564514.9298737
305,Gaming startup,96860249.91073933
306,Government,125833765.19765574
307,HR,2000000.0
308,HR Tech,18340000.0
309,HR Tech startup,1500000.0
310,HR tech,123364249.91073933
311,HRTech,3400000.0
312,Hauz Khas,922000.0
313,Healtcare,1300000.0
314,Health,171531451.2107393
315,Health & Wellness,257580749.732218
316,Health Care,3271677895.139049
317,Health Diagnostics,251667530.39531147
318,Health Insurance,125833765.19765574
319,Health and Fitness,115000000.0
320,Health care,17500000.0
321,"Health, Wellness & Fitness",409700000.0
322,HealthCare,549500249.9107393
323,HealthTech,1125911499.464436
324,Healthcare,696831249.5536966
325,Healthcare/Edtech,2800000.0
326,Healthtech,903420099.2859147
327,HeathTech,3200000.0
328,Heathcare,21000000.0
329,Helathcare,800000.0
330,Higher Education,400000.0
331,Home Decor,253667530.39531147
332,Home Design,10000000.0
333,Home interior services,8000000.0
334,Home services,438000000.0
335,Hospital,125833765.19765574
336,Hospital & Health Care,248300000.0
337,Hospitality,2297885560.6121016
338,Housing,85860249.91073933
339,Housing & Rentals,85860249.91073933
340,Housing Marketplace,155000.0
341,Hr tech,140500.0
